City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
333,Acapulco,MX,16.86,-99.89,80.42,78,68,5.61,broken clouds
334,Kuvshinovo,RU,57.03,34.17,35.53,93,100,6.24,overcast clouds
335,Hualmay,PE,-11.1,-77.61,60.42,88,19,7.67,few clouds
336,Axim,GH,4.87,-2.24,77.29,89,7,5.57,light rain
337,Comodoro Rivadavia,AR,-45.87,-67.5,64.4,59,0,2.24,clear sky
338,Mokhsogollokh,RU,61.47,128.92,1.24,89,42,1.66,scattered clouds
339,Vershino-Darasunskiy,RU,52.35,115.52,16.5,77,0,10.2,clear sky
340,Yarada,IN,17.65,83.27,84.2,70,0,5.82,haze
341,Te Anau,NZ,-45.42,167.72,59.83,42,8,2.37,clear sky
342,College,US,64.86,-147.8,-0.99,83,20,2.46,few clouds
343,Nome,US,64.5,-165.41,14.0,85,1,5.82,clear sky
344,Celestun,MX,20.87,-90.4,76.1,79,20,14.74,few clouds
345,Pittsburg,US,38.03,-121.88,62.6,42,1,3.36,clear sky
346,Voiron,FR,45.36,5.59,53.01,80,75,3.22,broken clouds
347,Repalle,IN,16.02,80.85,82.4,74,20,4.7,haze
348,Ilulissat,GL,69.22,-51.1,19.4,73,100,9.17,overcast clouds
349,Varhaug,NO,58.61,5.65,54.0,99,100,11.99,light rain
350,Nampula,MZ,-15.12,39.27,71.6,94,75,2.39,broken clouds
351,Bismarck,US,46.81,-100.78,39.2,60,1,4.7,clear sky
352,Van,TR,38.49,43.38,55.4,30,40,10.29,scattered clouds
353,Luderitz,NA,-26.65,15.16,58.5,81,100,0.4,overcast clouds
354,Cururupu,BR,-1.83,-44.87,74.43,93,8,2.53,clear sky
355,San Patricio,US,28.02,-97.52,66.2,68,1,8.05,clear sky
356,Fez,MA,34.04,-5.0,50.0,61,0,5.82,clear sky
357,Den Helder,NL,52.96,4.76,64.99,87,90,33.33,overcast clouds
358,Jiuquan,CN,39.74,98.52,49.59,41,0,6.85,clear sky
359,Bialogard,PL,54.01,15.99,55.0,10,100,14.27,light rain
360,Lata,PT,40.16,-8.33,64.0,93,84,1.14,broken clouds
361,Norman Wells,CA,65.28,-126.83,1.4,84,75,2.24,light snow
